1700   0.0262  
1701   0.0575  
1702   0.0837  
1703   0.1203  
1704   0.1883  
1705   0.3033  
1706   0.1517  
1707   0.1046  
1708   0.0523  
1709   0.0418  
1710   0.0157  
1711   0.0000  
1712   0.0000 
1713   0.0105 
1714   0.0575 
1715   0.1412 
1716   0.2458 
1717   0.3295 
1718   0.3138 
1719   0.2040 
1720   0.1464 
1721   0.1360 
1722   0.1151 
1723   0.0575 
1724   0.1098 
1725   0.2092 
1726   0.4079 
1727   0.6381 
1728   0.5387 
1729   0.3818 
1730   0.2458 
1731   0.1831 
1732   0.0575 
1733   0.0262 
1734   0.0837 
1735   0.1778 
1736   0.3661 
1737   0.4236 
1738   0.5805 
1739   0.5282 
1740   0.3818 
1741   0.2092 
1742   0.1046 
1743   0.0837 
1744   0.0262 
1745   0.0575 
1746   0.1151 
1747   0.2092 
1748   0.3138 
1749   0.4231 
1750   0.4362 
1751   0.2495 
1752   0.2500 
1753   0.1606 
1754   0.0638 
1755   0.0502 
1756   0.0534 
1757   0.1700 
1758   0.2489 
1759   0.2824 
1760   0.3290 
1761   0.4493 
1762   0.3201 
1763   0.2359 
1764   0.1904 
1765   0.1093 
1766   0.0596 
1767   0.1977 
1768   0.3651 
1769   0.5549 
1770   0.5272 
1771   0.4268 
1772   0.3478 
1773   0.1820 
1774   0.1600 
1775   0.0366 
1776   0.1036 
1777   0.4838 
1778   0.8075 
1779   0.6585 
1780   0.4435 
1781   0.3562 
1782   0.2014 
1783   0.1192 
1784   0.0534 
1785   0.1260 
1786   0.4336 
1787   0.6904 
1788   0.6846 
1789   0.6177 
1790   0.4702 
1791   0.3483 
1792   0.3138 
1793   0.2453 
1794   0.2144 
1795   0.1114 
1796   0.0837 
1797   0.0335 
1798   0.0214 
1799   0.0356 
1800   0.0758 
1801   0.1778 
1802   0.2354 
1803   0.2254 
1804   0.2484 
1805   0.2207 
1806   0.1470 
1807   0.0528 
1808   0.0424 
1809   0.0131 
1810   0.0000 
1811   0.0073 
1812   0.0262 
1813   0.0638 
1814   0.0727 
1815   0.1851 
1816   0.2395 
1817   0.2150 
1818   0.1574 
1819   0.1250 
1820   0.0816 
1821   0.0345 
1822   0.0209 
1823   0.0094 
1824   0.0445 
1825   0.0868 
1826   0.1898 
1827   0.2594 
1828   0.3358 
1829   0.3504 
1830   0.3708 
1831   0.2500 
1832   0.1438 
1833   0.0445 
1834   0.0690 
1835   0.2976 
1836   0.6354 
1837   0.7233 
1838   0.5397 
1839   0.4482 
1840   0.3379 
1841   0.1919 
1842   0.1266 
1843   0.0560 
1844   0.0785 
1845   0.2097 
1846   0.3216 
1847   0.5152 
1848   0.6522 
1849   0.5036 
1850   0.3483 
1851   0.3373 
1852   0.2829 
1853   0.2040 
1854   0.1077 
1855   0.0350 
1856   0.0225 
1857   0.1187 
1858   0.2866 
1859   0.4906 
1860   0.5010 
1861   0.4038 
1862   0.3091 
1863   0.2301 
1864   0.2458 
1865   0.1595 
1866   0.0853 
1867   0.0382 
1868   0.1966 
1869   0.3870 
1870   0.7270 
1871   0.5816 
1872   0.5314 
1873   0.3462 
1874   0.2338 
1875   0.0889 
1876   0.0591 
1877   0.0649 
1878   0.0178 
1879   0.0314 
1880   0.1689 
1881   0.2840 
1882   0.3122 
1883   0.3332 
1884   0.3321 
1885   0.2730 
1886   0.1328 
1887   0.0685 
1888   0.0356 
1889   0.0330 
1890   0.0371 
1891   0.1862 
1892   0.3818 
1893   0.4451 
1894   0.4079 
1895   0.3347 
1896   0.2186 
1897   0.1370 
1898   0.1396 
1899   0.0633 
1900   0.0497 
1901   0.0141 
1902   0.0262 
1903   0.1276 
1904   0.2197 
1905   0.3321 
1906   0.2814 
1907   0.3243 
1908   0.2537 
1909   0.2296 
1910   0.0973 
1911   0.0298 
1912   0.0188 
1913   0.0073 
1914   0.0502 
1915   0.2479 
1916   0.2986 
1917   0.5434 
1918   0.4215 
1919   0.3326 
1920   0.1966 
1921    0.1365 
1922    0.0743 
1923    0.0303 
1924    0.0873 
1925    0.2317 
1926    0.3342 
1927    0.3609 
1928    0.4069 
1929    0.3394 
1930    0.1867 
1931    0.1109 
1932    0.0581 
1933    0.0298 
1934    0.0455 
1935    0.1888 
1936    0.4168 
1937    0.5983 
1938    0.5732 
1939    0.4644 
1940    0.3546 
1941    0.2484 
1942    0.1600 
1943    0.0853 
1944    0.0502 
1945    0.1736 
1946    0.4843 
1947    0.7929 
1948    0.7128 
1949    0.7045 
1950    0.4388 
1951    0.3630 
1952    0.1647 
1953    0.0727 
1954    0.0230 
1955    0.1987 
1956    0.7411 
1957    0.9947 
1958    0.9665 
1959    0.8316 
1960    0.5873 
1961    0.2819 
1962    0.1961 
1963    0.1459 
1964    0.0534 
1965    0.0790 
1966    0.2458 
1967    0.4906 
1968    0.5539 
1969    0.5518 
1970    0.5465 
1971    0.3483 
1972    0.3603 
1973    0.1987 
1974    0.1804 
1975    0.0811 
1976    0.0659 
1977    0.1428 
1978    0.4838 
1979    0.8127 
